Haut;Origin;Location;Type;Dose;n_cells;n_pos
1;alt;basal;222nm;0;716;1
2;alt;basal;222nm;0;633;1
3;alt;basal;222nm;0;577;1
4;alt;basal;222nm;0;672;1
5;alt;basal;222nm;0;921;1
7;alt;basal;222nm;0;683;1
8;alt;basal;222nm;0;661;1
9;alt;basal;222nm;0;657;1
10;alt;basal;222nm;0;781;1
11;alt;basal;222nm;0;646;1
12;alt;basal;222nm;0;769;1
1;alt;basal;222nm;30;660;1
2;alt;basal;222nm;30;855;0
3;alt;basal;222nm;30;539;0
4;alt;basal;222nm;30;1033;0
5;alt;basal;222nm;30;956;0
7;alt;basal;222nm;30;1285;0
8;alt;basal;222nm;30;595;0
9;alt;basal;222nm;30;523;25
10;alt;basal;222nm;30;530;0
11;alt;basal;222nm;30;1324;8
12;alt;basal;222nm;30;589;2
1;alt;basal;222nm;300;630;0
2;alt;basal;222nm;300;949;0
3;alt;basal;222nm;300;564;0
4;alt;basal;222nm;300;1018;0
5;alt;basal;222nm;300;1070;0
7;alt;basal;222nm;300;596;0
8;alt;basal;222nm;300;537;0
9;alt;basal;222nm;300;574;8
10;alt;basal;222nm;300;529;6
11;alt;basal;222nm;300;558;0
12;alt;basal;222nm;300;572;11
1;alt;basal;222nm;1000;572;0
2;alt;basal;222nm;1000;1024;0
3;alt;basal;222nm;1000;567;0
4;alt;basal;222nm;1000;993;0
5;alt;basal;222nm;1000;891;0
7;alt;basal;222nm;1000;785;0
8;alt;basal;222nm;1000;676;0
9;alt;basal;222nm;1000;527;8
10;alt;basal;222nm;1000;585;0
11;alt;basal;222nm;1000;571;4
12;alt;basal;222nm;1000;537;0
1;alt;basal;222nm;2000;737;55
2;alt;basal;222nm;2000;607;1
3;alt;basal;222nm;2000;524;0
4;alt;basal;222nm;2000;623;2
5;alt;basal;222nm;2000;709;0
7;alt;basal;222nm;2000;861;0
8;alt;basal;222nm;2000;883;0
9;alt;basal;222nm;2000;535;45
10;alt;basal;222nm;2000;707;0
11;alt;basal;222nm;2000;721;6
12;alt;basal;222nm;2000;652;0
1;alt;basal;254nm;0;716;1
2;alt;basal;254nm;0;633;1
3;alt;basal;254nm;0;577;1
4;alt;basal;254nm;0;672;1
5;alt;basal;254nm;0;921;1
7;alt;basal;254nm;0;683;1
8;alt;basal;254nm;0;661;1
9;alt;basal;254nm;0;657;1
10;alt;basal;254nm;0;781;1
11;alt;basal;254nm;0;646;1
12;alt;basal;254nm;0;769;1
1;alt;basal;254nm;30;717;41
2;alt;basal;254nm;30;780;0
3;alt;basal;254nm;30;655;2
